Est-il encore possible de s'inscrire ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Puis-je encore m'inscrire ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Je peux encore m'inscrire ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
C'est quand les dates limites de candidature ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Jusqu'à quand on peut candidater au master ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quand sont les dates limites de candidature ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Jusqu'à quelle date puis-je m'inscrire ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Je peux m'inscrire tout de suite ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quelle est la deadline pour les candidatures ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quelle est la date de clôture des inscriptions ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quelles sont les dates d'inscription administrative ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
L'inscription en ligne, c'est urgent ou on peut attendre ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quand faut-il candidater ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quand faut-il déposer sa candidature ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quand faut-il envoyer sa candidature ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
quand faut-il envoyer son dossier de candidature ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Et quelles sont les dates pour s'inscrire ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
C'est quand les inscriptions ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Les inscriptions au master ont lieu quand ?	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".
Quand est ce que je peux m'inscrire au Master à Lyon	Le calendrier des candidatures est disponible sur la plateforme ecandidat, onglet "Offre de formation".

Qu'est ce que la plateforme e-candidat ?	C'est une plateforme par laquelle les étudiants doivent passer pour faire un dépôt de candidature auprès de l'université Lyon1.
Donne moi le site pour candidater	C'est une plateforme par laquelle les étudiants doivent passer pour faire un dépôt de candidature auprès de l'université Lyon1.
C'est quoi e-candidat ?	C'est une plateforme par laquelle les étudiants doivent passer pour faire un dépôt de candidature auprès de l'université Lyon1.
Qu'est ce que la plateforme ecandidat ?	C'est une plateforme par laquelle les étudiants doivent passer pour faire un dépôt de candidature auprès de l'université Lyon1.
C'est quoi ecandidat ?	C'est une plateforme par laquelle les étudiants doivent passer pour faire un dépôt de candidature auprès de l'université Lyon1.

Comment j'accède à la plateforme e-candidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Comment je me connecte à la plateforme e-candidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Comment j'accède à e-candidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Quelle est la page web e-candidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Comment j'accède à la plateforme ecandidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Comment je me connecte à la plateforme ecandidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Comment j'accède à ecandidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Quelle est la page web ecandidat ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Quel est le lien pour s'inscrire ?	La page ecandidat est disponible sur le lien suivant : siteEcandidat
Donne moi l'adresse du site ecandidat	La page ecandidat est disponible sur le lien suivant : siteEcandidat

Combien y a-t-il de candidats ?	Il y a plus de nbrCandidats candidats chaque année, la sélection est rude !
Il y a combien de candidats ?	Il y a plus de nbrCandidats candidats chaque année, la sélection est rude !
Il y a beaucoup de candidats chaque année ?	Il y a plus de nbrCandidats candidats chaque année, la sélection est rude !

C'est dur d'obtenir une place ?	C'est difficile à estimer, mais le minimum requis est un bon dossier de Master 1.
Quelles sont mes chances ?	C'est difficile à estimer, mais le minimum requis est un bon dossier de Master 1.
J'ai des chances d'être accepté ?	C'est difficile à estimer, mais le minimum requis est un bon dossier de Master 1.