Sur quels sujets faut-il se mettre à jour en maths ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Quelles Mathématiques il faut connaitre ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Qu'est-ce qu'il faut connaitre en math ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Il faut absolument connaitre les maths ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Il faut être bon en math ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Est-ce qu'il faut être bon en Math ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Quelles sont les mathématiques qu'il faut apprendre ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Faut-il être bon en maths ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Je viens d'un parcours de math, quels prérequis sont à avoir ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Quels prérequis pour une inscription au parcours Mathématiques ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.
Il faut des connaissances en maths ?	Il est fortement recommandé d'avoir des bases solide en algèbre linéaire, en analyse et en probabilités.

Faut-il un bon niveau d'informatique ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils
Qu'est-ce qu'il faut connaitre en informatique ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils
Quels prérequis pour une inscription au parcours informatique ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils
Il faut avoir fait de l'informatique pour candidater ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils
Il faut avoir fait de la programmation pour candidater ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils
Il faut des connaissances préalables en informatique ?	Les connaissances préalables souhaitées sont disponibles sur la page : siteConseils

Faut il avoir une culture générale en data science ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Peux-tu me donner des conseils pour préparer le Master ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Comment se préparer pour le master ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Comment développer sa culture générale en data science ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Comment avoir une culture générale en data science ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Comment se préparer au cours ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.
Comment je peux me préparer pour cette UE ?	Vous pouvez lire des cours en ligne, suivre des MOOC, des tutoriels, des blogs, et vous entrainer sur les langages de programmation nécessaires.

Quels cours faut-il lire ?	Vous pouvez faire une recherche web matière par matière.
Quels tutoriel est intéressant ?	Vous pouvez faire une recherche web matière par matière.
Sur quoi s'entrainer ?	Vous pouvez faire une recherche web matière par matière.
Quels sont les tutoriels importants ?	Vous pouvez faire une recherche web matière par matière.

Ou trouver des idées de projets en ligne ?	Le dépôt Github contient énormément de projets pour pratiquer.
Comment je peux m'entrainer à coder ?	Le dépôt Github contient énormément de projets pour pratiquer.
Ou puis-je trouver des exemples de projets ?	Le dépôt Github contient énormément de projets pour pratiquer.
Ou je peux trouver du code pour pratiquer ?	Le dépôt Github contient énormément de projets pour pratiquer.

Y a-t-il des références à lire ?	Vous devriez poser la question au responsable du Master.
Il y a des livres à lire ?	Vous devriez poser la question au responsable du Master.
Est-ce qu'il y a des livres à lire ?	Vous devriez poser la question au responsable du Master.
Quels sont les livres recommandés ?	Vous devriez poser la question au responsable du Master.

Comment je peux devenir bon en math	Vous devriez poser la question au responsable du Master.
Comment je peux apprendre les maths ?	Vous devriez poser la question au responsable du Master.
Comment être meilleur en math ?	Vous devriez poser la question au responsable du Master.

Je souhaiterais avoir des références pour me préparer	Le responsable du Master pourra vous donner de bonnes références.
Est-ce que c'est possible d'avoir des références ?	Le responsable du Master pourra vous donner de bonnes références.

Il faut acheter des livres ?	Non, il n'est pas nécessaire d'acheter des livres.
Des livres sont à acheter pour le master ?	Non, il n'est pas nécessaire d'acheter des livres.

Aurais-je besoin des cours de soutien ?	Non, les cours magistraux et séance de TD/TP sont suffisants.
Des cours de soutien sont-ils nécessaires ?	Non, les cours magistraux et séance de TD/TP sont suffisants.

Quels MOOC en particulier	Je vous recommande de chercher sur les plateformes Coursera et OpenClassRoom.
Vous me conseillez quels MOOC ?	Je vous recommande de chercher sur les plateformes Coursera et OpenClassRoom.