Quel est l'enseignant du cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui enseigne l'UE d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui est le prof d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui donne le cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Quel est l'enseignant de l'UE d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui enseigne le cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui fait l'UE d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui fait le cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Quel est le professeur d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Qui est le responsable du cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF

Fait-on de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Il y a de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Y a-t-il des cours d'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Est ce que le master propose un enseignement en analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Est-ce qu'on fait de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Il y a des cours d'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Il y a de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Fait on de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Y a-t-il de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Y a-t-il un cours d'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
On fait de l'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme
Il y a de l'analyse factorielle dans ce master ?	Oui, une UE d'analyse factorielle est au programme
Est ce qu'il y a des cours d'analyse factorielle ?	Oui, une UE d'analyse factorielle est au programme

C'est quoi l'analyse factorielle ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
Qu'est ce que l'analyse factorielle ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant

Que faut il lire en analyse factorielle ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il y a des livres à lire en analyse factorielle ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Le cours d'analyse factorielle est-il en ligne ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il faut des connaissances préalables en analyse factorielle ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander

Il y a des TP d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Quels sont les TP d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des TP d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des Travaux Pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Quels sont les Travaux Pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des exercices pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Quels sont les exercices pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.

Quel est le programme d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
C'est quoi le programme d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
On fait quoi en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quel est le contenu de l'UE analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quel est le contenu du cours d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les thèmes abordés en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Vous faites quoi en analyse factorielle?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les méthodes enseignées en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les algorithmes d'analyse factorielle enseignés ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Vous enseignez quoi en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.