On doit avoir validé le TOEIC ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Il faut avoir le toeic ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Le TOEIC est-il obligatoire ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Faut-il être bon en anglais ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Quel est le niveau en anglais ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Est-ce qu'il faut savoir parler anglais ?	Vous devrez avoir validé le TOEIC à l'issu de la formation
Faut il parler anglais ?	Vous devrez avoir validé le TOEIC à l'issu de la formation

Est ce que il y a des cours en anglais ?	Plusieurs supports de cours sont en anglais
Est ce que les cours sont en anglais ?	Plusieurs supports de cours sont en anglais

Y a-t-il des cours d'anglais ?	Oui il y a une UE d'anglais.
On a une matière d'anglais ?	Oui il y a une UE d'anglais.

Est-ce qu'on devra faire une présentation en anglais ?	Oui, vous devrez faire une présentation orale en anglais
Sera-t-on noté sur une présentation en anglais ?	Oui, vous devrez faire une présentation orale en anglais

Combien de points au toeic ?	Il faudra avoir validé 550 points au TOEIC.
Il faut Combien de points pour le TOEIC ?	Il faudra avoir validé 550 points au TOEIC.

C'est difficile le toeic ?	Navré, je n'ai pas la réponse à cette question.
Le TOEIC est dur ?	Navré, je n'ai pas la réponse à cette question.

Est-ce que je peux passer le Toeic gratuitement ?	Oui, pour le premier passage le Toeic est gratuit
Peut-on passer le TOEIC gratuitement ?	Oui, pour le premier passage le Toeic est gratuit

Je suis étranger dois-je passer le Toeic obligatoirement ?	Non, le niveau B1 du TOEIC est exigé seulement pour les étudiants français
Le TOEIC est obligatoire quand je suis étranger ?	Non, le niveau B1 du TOEIC est exigé seulement pour les étudiants français