Quel est l'enseignant du cours de Data Mining ?	L'enseignant de Data Mining est Pr. profDM
Qui enseigne l'UE Data Mining ?	L'enseignant de Data Mining est Pr. profDM
Qui est le prof de Data Mining ?	L'enseignant de Data Mining est Pr. profDM
Qui donne le cours de Data Mining ?	L'enseignant de Data Mining est Pr. profDM
Quel est l'enseignant de l'UE de fouille de données ?	L'enseignant de Data Mining est Pr. profDM
Qui enseigne le cours de fouille de données ?	L'enseignant de Data Mining est Pr. profDM
Qui fait l'UE de Data Mining ?	L'enseignant de Data Mining est Pr. profDM
Qui fait le cours de fouille de données ?	L'enseignant de Data Mining est Pr. profDM
Quel est le professeur de fouille de données ?	L'enseignant de Data Mining est Pr. profDM
Qui est le responsable du cours de Data Mining ?	L'enseignant de Data Mining est Pr. profDM

Est ce que le master propose un enseignement en Data Mining ?	Oui, une UE de Data Mining est au programme
Il y a du Data Mining ?	Oui, une UE de Data Mining est au programme
Fait on du Data Mining ?	Oui, une UE de Data Mining est au programme
Il y a des cours de Data Mining ?	Oui, une UE de Data Mining est au programme
Il y a des cours de fouille de données ?	Oui, une UE de Data Mining est au programme
Y a-t-il du Data Mining ?	Oui, une UE de Data Mining est au programme
Y a-t-il un cours de Data Mining ?	Oui, une UE de Data Mining est au programme
On fait du Data Mining ?	Oui, une UE de Data Mining est au programme
On fait de la fouille de données ?	Oui, une UE de Data Mining est au programme
Il y a du Data Mining dans ce master ?	Oui, une UE de Data Mining est au programme
Est ce qu'il y a des cours de Data Mining ?	Oui, une UE de Data Mining est au programme

C'est quoi le Data Mining ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
Qu'est ce que le Data Mining ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
C'est quoi la fouille de données ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant

Que faut il lire en Data Mining ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il y a des livres à lire en fouille de données ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Le cours de Data Mining est-il en ligne ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il faut des connaissances préalables en fouille de données ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander

Il y a des TP de Data Mining ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Quels sont les TP de Data Mining ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Il y a des TP de fouille de données ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Il y a des Travaux Pratiques de fouille de données ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Quels sont les Travaux Pratiques de Data Mining ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Il y a des exercices pratiques de fouille de données ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.
Quels sont les exercices pratiques de Data Mining ?	Deux travaux pratiques sont proposés en DM, TP1 : Echantillonnage de motifs, TP2 : Détection de points d'intérêts avec KNIME.

C'est quoi le programme de Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
On fait quoi en Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Quel est le contenu de l'UE Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Quel est le contenu du cours de Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Quels sont les thèmes abordés en Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Vous faites quoi en Data Mining?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Quels sont les méthodes enseignées en Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Quels sont les algorithmes de Data Mining enseignés ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.
Vous enseignez quoi en Data Mining ?	L'UE aborde les thèmes suivants : Processus KDD, Motifs ensemblistes (itemsets, règles d’association) et algorithmes/explorations classiques, Fouille de motifs sous contraintes : étude et exploitation des propriétés des contraintes (anti-monotonie, contraintes convertibles, convexité), Langage de motifs plus sophistiqués (concepts formels, séquences, graphes, graphes dynamiques) (Bi|Co)-Clustering.