Quel est l'enseignant du cours de Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV
Qui enseigne l'UE Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV
Qui est le prof de Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV
Qui donne le cours de Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV
Quel est l'enseignant de l'UE de Visualisation de données ?	L'enseignant de Data Visualisation est Pr. profDV
Qui enseigne le cours de Visualisation de données ?	L'enseignant de Data Visualisation est Pr. profDV
Qui fait l'UE de Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV
Qui fait le cours de Visualisation de données ?	L'enseignant de Data Visualisation est Pr. profDV
Quel est le professeur de Visualisation de données ?	L'enseignant de Data Visualisation est Pr. profDV
Qui est le responsable du cours de Data Visualisation ?	L'enseignant de Data Visualisation est Pr. profDV

Fait-on de la Visualisation de données ?	Oui, une UE de Data Visualisation est au programme
Il y a de la DataViz ?	Oui, une UE de Data Visualisation est au programme
Y a-t-il des cours de dataviz ?	Oui, une UE de Data Visualisation est au programme
Est ce que le master propose un enseignement en Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Est-ce qu'on fait de la Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Il y a des cours de Visualisation ?	Oui, une UE de Data Visualisation est au programme
Il y a de la Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Fait on du Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Il y a des cours de Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Il y a des cours de Visualisation de données ?	Oui, une UE de Data Visualisation est au programme
Y a-t-il du Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
Y a-t-il un cours de Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
On fait du Data Visualisation ?	Oui, une UE de Data Visualisation est au programme
On fait de la Visualisation de données ?	Oui, une UE de Data Visualisation est au programme
Il y a du Data Visualisation dans ce master ?	Oui, une UE de Data Visualisation est au programme
Est ce qu'il y a des cours de Data Visualisation ?	Oui, une UE de Data Visualisation est au programme

C'est quoi le Data Visualisation ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
Qu'est ce que le Data Visualisation ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
C'est quoi le Visualisation de données ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant

Que faut il lire en Data Visualisation ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il y a des livres à lire en Visualisation de données ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Le cours de Data Visualisation est-il en ligne ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il faut des connaissances préalables en Visualisation de données ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander

Il y a des TP de Data Visualisation ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Quels sont les TP de Data Visualisation ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Il y a des TP de Visualisation de données ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Il y a des Travaux Pratiques de Visualisation de données ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Quels sont les Travaux Pratiques de Data Visualisation ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Il y a des exercices pratiques de Visualisation de données ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.
Quels sont les exercices pratiques de Data Visualisation ?	Cinq travaux pratiques sont proposés en Data Visualisation, TP1 : le logiciel Tableau, TP2 : Introduction à D3.js, TP3 : Utilisation avancée de D3.js, TP4 : GeoMap avec D3.js, TP5 : Graphes avec D3.js.

C'est quoi le programme de Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
On fait quoi en Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Quel est le contenu de l'UE Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Quel est le contenu du cours de Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Quels sont les thèmes abordés en Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Vous faites quoi en Data Visualisation?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Quels sont les méthodes enseignées en Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Quels sont les algorithmes de Data Visualisation enseignés ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.
Vous enseignez quoi en Data Visualisation ?	Dans l'UE Data Visualisation, vous aurez une introduction à la Data Visualisation, une introduction à D3.js, des cours avancés sur D3.js.