Je ne vois pas de module de Deep Learning dans le programme du Master.	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
Je voudrais une formation de Deep Learning	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
Je souhaiterais faire du Deep Learning	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
Il y a des réseaux de neurones ?	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
Les réseaux de neurones sont-ils abordés dans le parcours Data Science ?	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
J'aimerais faire du Deep Learning	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.
Il y a du Deep Learning ?	Les réseaux de neurones sont abordés en Machine Learning et en Modèles graphiques probabilistes.

Quels sont les cours proposés dans le cadre du Master Data Science ?	Ce Master propose les cours suivant: listCours
Quelles sont les matières du master data science ?	Ce Master propose les cours suivant: listCours
Quelles sont les matières disponibles pour le master ?	Ce Master propose les cours suivant: listCours
Quelles sont les matières disponibles pour le master Data science ?	Ce Master propose les cours suivant: listCours
Quels sont les cours proposés ?	Ce Master propose les cours suivant: listCours
Il y a quoi comme cours ?	Ce Master propose les cours suivant: listCours
Quels sont les cours enseignés ?	Ce Master propose les cours suivant: listCours
Quels sont les cours ?	Ce Master propose les cours suivant: listCours
Quelles sont les matières ?	Ce Master propose les cours suivant: listCours
Quels sont les différents cours ?	Ce Master propose les cours suivant: listCours
Quels sont les UE du master Data science ?	Ce Master propose les cours suivant: listCours
Quels sont les ue du master ?	Ce Master propose les cours suivant: listCours
Quelles sont les matières du master DS ?	Ce Master propose les cours suivant: listCours
Quelles matières composent le Master ?	Ce Master propose les cours suivant: listCours
C'est quoi le programme ?	Ce Master propose les cours suivant: listCours
Quelles sont les UE ?	Ce Master propose les cours suivant: listCours
Quels cours sont disponibles pour le Master ?	Ce Master propose les cours suivant: listCours
Quelle est la liste des matières ?	Ce Master propose les cours suivant: listCours
Quels cours sont présent ?	Ce Master propose les cours suivant: listCours
Je souhaite faire un master en data science, quels sont les cours ?	Ce Master propose les cours suivant: listCours

Combien y a-t-il de cours ?	Le cursus comprend nombreCours cours principaux.
Combien il y a d'UE ?	Le cursus comprend nombreCours cours principaux.
Il y a beaucoup de cours ?	Le cursus comprend nombreCours cours principaux.
Il y a combien de cours ?	Le cursus comprend nombreCours cours principaux.
Il y a combien de cours en tout ?	Le cursus comprend nombreCours cours principaux.
Combien de cours en tout ?	Le cursus comprend nombreCours cours principaux.
Combien y a-t-il de cours en Data sciences ?	Le cursus comprend nombreCours cours principaux.

Les supports de cours sont ils disponibles ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Quels cours en lignes ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Où est-ce que je peux trouver les supports de cours ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Est-ce que les cours sont en ligne ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Est-ce que les cours sont sur internet ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Quelles resources en ligne ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.
Quels sont les cours en ligne ?	Vous pouvez consulter les resources disponible sur la page de chaque enseignant.

Il y a des vidéos de cours ?	Non, les cours n'ont pas de support vidéo.
Le cours est sur youtube ?	Non, les cours n'ont pas de support vidéo.
Est-ce que les cours sont en vidéo ?	Non, les cours n'ont pas de support vidéo.
Les cours sont sur youtube ?	Non, les cours n'ont pas de support vidéo.

Combien y a-t-il d'ECTS par cours ?	Chaque cours vaut trois ECTS.
Quel est le nombre de crédits pour chaque matière ?	Chaque cours vaut trois ECTS.

Il y a une mise à niveau en informatique ?	Oui, pour les étudiants du parcours Mathématiques Data Science.
Il y a des rappels d'informatique ?	Oui, pour les étudiants du parcours Mathématiques Data Science.

Il y a des rappels de Mathématiques ?	Oui, pour les étudiants du parcours Informatique Data Science.
Il y a une UE de remise à niveau en maths ?	Oui, pour les étudiants du parcours Informatique Data Science.

Je voudrais faire du NLP	Un TP de Deep Learning est consacré au NLP.
Est-ce qu'on fait du NLP ?	Un TP de Deep Learning est consacré au NLP.

Y'a-t-il beaucoup de mathématiques ?	Le parcours comprend trois UE de Mathématiques et Statistiques.
Il y a des Maths ?	Le parcours comprend trois UE de Mathématiques et Statistiques.
Y'a t'il des cours de mathématiques ?	Le parcours comprend trois UE de Mathématiques et Statistiques.

Quelles sont les UE de math ?	Le master comprend les cours de mathématiques suivant : listCoursMath
Il y a des mathématiques ?	Le master comprend les cours de mathématiques suivant : listCoursMath
Quelles sont les UE de mathématiques ?	Le master comprend les cours de mathématiques suivant : listCoursMath
Quels sont les cours de mathématiques ?	Le master comprend les cours de mathématiques suivant : listCoursMath

Quelles sont les UE d'informatique ?	Le master comprend les cours d'informatique suivant : listCoursInfo
Il y a de l'informatique ?	Le master comprend les cours d'informatique suivant : listCoursInfo
Quelles sont les UE d'informatique ?	Le master comprend les cours d'informatique suivant : listCoursInfo
Quels sont les cours d'informatique ?	Le master comprend les cours d'informatique suivant : listCoursInfo

Il y a des options ?	Tous les cours sont obligatoires, il n'existe pas d'options.
Y a-t-il des options ?	Tous les cours sont obligatoires, il n'existe pas d'options.
A t-on à choisir entre certaines matières ?	Tous les cours sont obligatoires, il n'existe pas d'options.
Tous les cours sont obligatoires ?	Tous les cours sont obligatoires, il n'existe pas d'options.

Peux tu me donner des informations sur les cours ?	Tous les cours comprennent une partie théorique (60%) et pratique (40%).

Dans quelle langue sont les cours ?	Les cours sont donnés en Français, avec certains supports de cours en Anglais.
Les cours sont en quelle langue ?	Les cours sont donnés en Français, avec certains supports de cours en Anglais.
Les cours sont en français ?	Les cours sont donnés en Français, avec certains supports de cours en Anglais.
Les cours sont en français ou en anglais ?	Les cours sont donnés en Français, avec certains supports de cours en Anglais.
Tous les cours sont en français ?	Les cours sont donnés en Français, avec certains supports de cours en Anglais.

Est-ce qu'il y a des TP ?	Les travaux pratiques forment une part importante du cursus.
Il y a t-il des travaux pratiques ?	Les travaux pratiques forment une part importante du cursus.
Il y a beaucoup de cours pratiques ?	Les travaux pratiques forment une part importante du cursus.
Y a t il des TP en master ?	Les travaux pratiques forment une part importante du cursus.
Y a t il des TP en master parcours Token_parcours ?	Les travaux pratiques forment une part importante du cursus.

Est-ce qu'il y a des cours théoriques ?	Les cours théoriques forment une part importante du cursus.
Aborde-t-on la théorie dans les cours ?	Les cours théoriques forment une part importante du cursus.
Il y a beaucoup de cours théoriques ?	Les cours théoriques forment une part importante du cursus.
Il y a que des cours théoriques ?	Les cours théoriques forment une part importante du cursus.

Combien d'heures de cours par semaine ?	Il y a en moyenne 30h de cours par semaine.
Quel est le volume horaire par semaine ?	Il y a en moyenne 30h de cours par semaine.

Combien y a t il d'heures de cours ?	Il y a en tout 400h de cours.
combien y-a-t-il d'heures d'enseignements ?	Il y a en tout 400h de cours.
Combien d'heures de cours en tout au programme ?	Il y a en tout 400h de cours.
Combien d'heures en tout au programme ?	Il y a en tout 400h de cours.
Combien d'heures de cours en tout ?	Il y a en tout 400h de cours.
Y a-t-il beaucoup d'heures de cours ?	Il y a en tout 400h de cours.

Le contenu correspond-il aux besoins des entreprises ?	Oui tout à fait.

Quelle est la différence entre Data Mining et Machine Learning ?	Navré, je n'ai pas la réponse à cette question.
C'est quoi la différence entre Data Mining et Machine Learning ?	Navré, je n'ai pas la réponse à cette question.

Quel type de mathématiques sont abordées ?	Principalement de l'algèbre linéaire, des statistiques et des probabilités.
On fait quoi en math ?	Principalement de l'algèbre linéaire, des statistiques et des probabilités.

Est-ce qu'on fait de la reconnaissance d'images ?	Oui, un TP de Deep Learning aborde la reconnaissance d'images.
La reconnaissance d'images est-elle abordée ?	Oui, un TP de Deep Learning aborde la reconnaissance d'images.

Il y a des cours de UNK_Token ?	Je suis désolé, je n'ai pas saisi le nom du cours.
J'aimerais en savoir plus sur le cours de UNK_Token	Je suis désolé, je n'ai pas saisi le nom du cours.

Combien y-a de cours par semaine ?	En moyenne dix cours par semaine.
Il y a combien de matières par semaine ?	En moyenne dix cours par semaine.

Combien y a t il d'heure de TP en parcours Token_parcours ?	Il y a en moyenne 170h de TP en tout.
Combien y a t il d'heure de TP dans ce Master ?	Il y a en moyenne 170h de TP en tout.