Quelle date de rentrée ?	La rentrée est le dateRentree
Quand est la rentrée ?	La rentrée est le dateRentree
La date de rentrée ?	La rentrée est le dateRentree
C'est quand la rentrée ?	La rentrée est le dateRentree
Quand est la rentrée scolaire ?	La rentrée est le dateRentree
Quand est ce que commence les cours ?	La rentrée est le dateRentree
Quand commence le master ?	La rentrée est le dateRentree
Et la rentrée, c'est quand ?	La rentrée est le dateRentree

Il y a des vacances ?	Les étudiants du cursus ont une semaine de vacances à Noël.
Combien de vacances il y a ?	Les étudiants du cursus ont une semaine de vacances à Noël.
Quelles sont les dates de toutes les vacances ?	Les étudiants du cursus ont une semaine de vacances à Noël.
Aurais-je des vacances ?	Les étudiants du cursus ont une semaine de vacances à Noël.

Quand est-ce que les cours se terminent ?	Aux alentours du mois de Mars.
Les cours se finissent quand ?	Aux alentours du mois de Mars.
C'est quand la fin des cours ?	Aux alentours du mois de Mars.