C'est possible de continuer sur un Doctorat ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Ce master débouche-il sur un doctorat ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
On peut continuer sur une thèse ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Ce master permet il de faire une thèse ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Peut-on poursuivre en thèse ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Est-il possible de poursuivre en thèse ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Et à propos de la poursuite d'études	Oui, il est tout à fait possible de faire un doctorat après ce master.
Est-il possible de continuer en thèse ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Peut-on faire une thèse après le master ?	Oui, il est tout à fait possible de faire un doctorat après ce master.
Quelle poursuite d'études après votre master	Oui, il est tout à fait possible de faire un doctorat après ce master.

Ce master est orienté recherche ou professionel ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
Quels sont les perspectives de la formation ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
Le Master est-il à finalité recherche ou professionnelle ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
Est-ce que c'est un master à finalité recherche ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
C'est un master recherche ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
Est-ce un master orienté recherche ou entreprise ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.
Est-ce un master PRO ou recherche ?	Ce master débouche autant sur de la recherche que sur une carrière professionnelle.

Je veux savoir les statistiques des années précédentes dans l'insertion professionnelle.	En data sciences, le taux d'embauches est de 100%.
Quel est le taux d'embauche ?	En data sciences, le taux d'embauches est de 100%.
Le taux d'embauche est de combien ?	En data sciences, le taux d'embauches est de 100%.
A-t-on de bonnes chances d'être recruté à l'issu de ce master ?	En data sciences, le taux d'embauches est de 100%.
Sommes-nous facilement recruter à la sortie du master ?	En data sciences, le taux d'embauches est de 100%.
Quel est le pourcentage d'embauche en fin d'études ?	En data sciences, le taux d'embauches est de 100%.
On trouve facilement du travail avec ce master ?	En data sciences, le taux d'embauches est de 100%.

Le master forme à quel métier ?	Le métier de Data Scientist.
Le master forme à quels métiers ?	Le métier de Data Scientist.
Le master prépare à quel emploi ?	Le métier de Data Scientist.
Le master prépare à quel métier ?	Le métier de Data Scientist.
Cela débouche sur quoi ?	Le métier de Data Scientist.
Quel métier faire après ?	Le métier de Data Scientist.

Quel est le taux de réussite ?	Le taux de réussite est de tauxReussite.
Vous savez le taux de réussite ?	Le taux de réussite est de tauxReussite.
Le taux de réussite est de combien ?	Le taux de réussite est de tauxReussite.
Vous connaissez le taux de réussite ?	Le taux de réussite est de tauxReussite.
C'est quoi le taux de réussite ?	Le taux de réussite est de tauxReussite.

Quel genre d'emploi peut on trouver ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Quels sont les débouchés du master DS ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Quels sont les débouchés ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Y'a-t-il des débouchés ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Débouchés ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Quels sont les débouchés possibles ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Dans quels secteurs puis-je travailler avec ce master ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Est-ce qu'il y a beaucoup de débouchés en Data Science ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Il y a beaucoup d'entreprises qui recrutent ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
c'est quoi les débouchés ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Quels sont les métiers possibles avec ce master ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)
Je peux faire quoi après le master ?	Data Scientist, un métier en large déficit d’ingénieurs de très « haut-niveau », aussi bien dans des start-up que dans les grands laboratoires de recherche dans l’industrie.<br>Doctorat au sein de l’ED math-info de l’Université Lyon 1 en rejoignant l’un des laboratoires de recherche du site ou au sein de départements R&D en entreprise (thèse CIFRE)

Quelle est la finalité du master ?	Ce Master a pour but de vous faire acquérir un socle de connaissances techniques en Data Science.
Quel est le but de ce master ?	Ce Master a pour but de vous faire acquérir un socle de connaissances techniques en Data Science.
A quoi sert ce Master ?	Ce Master a pour but de vous faire acquérir un socle de connaissances techniques en Data Science.
Pourquoi faire ce master ?	Ce Master a pour but de vous faire acquérir un socle de connaissances techniques en Data Science.

C'est possible d'obtenir ce master avec la validation des acquis ?	Vous trouverez toutes les informations sur : siteVAE et siteVAPP
Peut on faire ce master après validation des acquis d'expérience ?	Vous trouverez toutes les informations sur : siteVAE et siteVAPP
Ou puis-je trouver les informations sur la validation des acquis ?	Vous trouverez toutes les informations sur : siteVAE et siteVAPP

Quelles entreprises font de la recherche ?	Les GAFA ainsi que les entreprises spécialisées en Data Science.
Quelles entreprises françaises font de la recherche ?	Les GAFA ainsi que les entreprises spécialisées en Data Science.

Quelles sont les entreprisent qui recrutent ?	Les entreprises qui recrutent ont toutes les tailles, de la start-up à la multinationale !
Ce sont les grosses entreprises qui recrutent ?	Les entreprises qui recrutent ont toutes les tailles, de la start-up à la multinationale !

On peut faire de la recherche en data science ?	Tout à fait, la recherche en Data Science est très active.
On peut faire de la recherche ?	Tout à fait, la recherche en Data Science est très active.

Quel est la salaire moyen d’un data scientist ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Quel est le salaire moyen annuel à la sortie ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Quel est le salaire minimum après le Master ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Quel est le salaire	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
On gagne combien comme ingenieur debutant en data science ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Quel salaire puis-je espérer avec un M2 data science ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Quel est le salaire d'embauche ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.
Et le salaire ?	Cela dépend du niveau d'expertise, pour un profil junior, le salaire varie entre 37.000 et 50.000 euros.

Proposez vous des thèses dans le laboratoire de l'université ?	Oui, plusieurs thèses sont proposées.
Il existe des thèses dans le laboratoire LIRIS ?	Oui, plusieurs thèses sont proposées.

Le stage est professionnalisant ?	Les élèves arrivent à s'insérer sur le marché du travail suite aux cours enseignés et au stage.
Tous les étudiants trouvent un emploi après ?	Les élèves arrivent à s'insérer sur le marché du travail suite aux cours enseignés et au stage.

Qui sont les chercheurs en Data Science ?	Les chercheurs en Data Science travaillent au sein d'une université ou d'une grande entreprise.
Où travaillent les chercheurs en Data Science ?	Les chercheurs en Data Science travaillent au sein d'une université ou d'une grande entreprise.