J'ai des questions	Je suis là pour vous renseigner sur le master 2 Data Science.
J'aurais une question	Je suis là pour vous renseigner sur le master 2 Data Science.
J'ai une question	Je suis là pour vous renseigner sur le master 2 Data Science.
Je recherche des informations	Je suis là pour vous renseigner sur le master 2 Data Science.
Je suis un peu perdu	Je suis là pour vous renseigner sur le master 2 Data Science.
J'aurais encore une question	Je suis là pour vous renseigner sur le master 2 Data Science.
Autre question	Je suis là pour vous renseigner sur le master 2 Data Science.
J'ai des questions sur le master	Je suis là pour vous renseigner sur le master 2 Data Science.
Encore une question	Je suis là pour vous renseigner sur le master 2 Data Science.
Pourriez-vous me renseigner	Je suis là pour vous renseigner sur le master 2 Data Science.
Vous pouvez m'aider ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Je peux vous poser une question ?	Je suis là pour vous renseigner sur le master 2 Data Science.
J'ai besoin d'un renseignement	Je suis là pour vous renseigner sur le master 2 Data Science.
J'ai besoin de renseignements	Je suis là pour vous renseigner sur le master 2 Data Science.
J'ai besoin d'aide	Je suis là pour vous renseigner sur le master 2 Data Science.
Je veux savoir encore plus sur la formation	Je suis là pour vous renseigner sur le master 2 Data Science.
Peux tu m'aider ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Vous savez dire quoi ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel sujet peux-tu me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel thème peux-tu me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel master peux-tu me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quelle formation peux-tu me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel sujet pouvez vous me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel thème pouvez vous me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel domaine pouvez vous me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quel master pouvez vous me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quelle formation pouvez vous me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Je peux poser des questions sur le master data science ?	Je suis là pour vous renseigner sur le master 2 Data Science.
à quoi sert tu ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Etes vous disponible pour me conseiller ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Avez vous du temps ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Avez vous du temps à me consacrer ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Etes vous disponible ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Sur quoi peux tu me renseigner ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Et quel est ton role ?	Je suis là pour vous renseigner sur le master 2 Data Science.
Tu sers à quoi ?	Je suis là pour vous renseigner sur le master 2 Data Science.