Ou puis-je retirer ma carte étudiant ?	Vous devriez poser la question au service de scolarité.
Ou je peux faire refaire ma carte étudiant ?	Vous devriez poser la question au service de scolarité.
Quel est le coût de la scolarité ?	Vous devriez poser la question au service de scolarité.
ça coûte combien de faire ce master ?	Vous devriez poser la question au service de scolarité.
Quel est le cout du Master ?	Vous devriez poser la question au service de scolarité.
Quand puis-je retirer mon diplôme ?	Vous devriez poser la question au service de scolarité.

Comment faire pour contacter la scolarité ?	Les contacts de la scolarité sont accessibles sur : siteScolarite
Comment je prend contact avec la scolarité ?	Les contacts de la scolarité sont accessibles sur : siteScolarite
Comment je contacte la scolarité ?	Les contacts de la scolarité sont accessibles sur : siteScolarite
Comment pourrais-je contacter la scolarité ?	Les contacts de la scolarité sont accessibles sur : siteScolarite
Quels sont les moyens pour vous contacter ?	Les contacts de la scolarité sont accessibles sur : siteScolarite

Qu-est ce qu'un duplicata de diplôme ?	C'est une copie ayant la valeur du diplôme original.
C'est quoi un duplicata de diplôme ?	C'est une copie ayant la valeur du diplôme original.

Qu'est ce qu'une copie conforme du diplôme ?	C'est une simple photocopie du diplôme avec les tampons de l'université.
C'est quoi une copie conforme du diplôme ?	C'est une simple photocopie du diplôme avec les tampons de l'université.

Comment obtenir un duplicata ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Comment obtenir une copie de diplôme ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Je peux obtenir un nouveau diplôme si j'ai changé de nom ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Je peux obtenir un nouveau diplôme si j'ai changé de prénom ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Je peux obtenir un nouveau diplôme si j'ai changé de sexe ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Est-ce que je dois aller retirer mon diplôme en main propre ?	Vous devez suivre les indications spécifiées sur : siteDiplome
Si je suis à l'étranger, est-ce que je dois venir récupérer mon diplôme en main propre ?	Vous devez suivre les indications spécifiées sur : siteDiplome

Que dois-je faire si je suis sportif de haut niveau ?	Vous trouverez toutes les informations nécessaires sur : siteSport
Je peux continuer à faire du sport de haut niveau ?	Vous trouverez toutes les informations nécessaires sur : siteSport

Comment je peux retirer mon diplôme ?	Les diplômes sont à retirer auprès de la scolarité du Master.
Où puis-je retirer mon diplôme ?	Les diplômes sont à retirer auprès de la scolarité du Master.

Où se situe la scolarité du Master ?	Les informations sur la scolarité sont accessibles sur : siteScolarite
Comment trouver la scolarité ?	Les informations sur la scolarité sont accessibles sur : siteScolarite

Est-ce que je peux avoir une copie de mon diplôme ?	Vous pouvez faire des copies certifiées conforme, ou obtenir un duplicata sous certaines conditions.
Est-il possible d'avoir une copie de mon diplôme ?	Vous pouvez faire des copies certifiées conforme, ou obtenir un duplicata sous certaines conditions.

Quels sont les modes de paiement possibles ?	Vous pouvez payer par carte, par chèque bancaire, par virement ou en espèce.
Comment je peux payer ?	Vous pouvez payer par carte, par chèque bancaire, par virement ou en espèce.